cycle,simulation_time,action,green_time,phase,queue_length,total_waiting_time,avg_waiting_time_per_vehicle,occupancy,density,throughput,vehicles_in_detectors,flow_rate,jam_detected,vehicles_through_motorcycle,vehicles_through_passenger,vehicles_through_bus,vehicles_through_truck,total_vehicles_through,cumulative_throughput,avg_speed,fuel_consumption,co2_emission
17,323.0,0,15,0,10,10,1.0,11.083333333333334,41.66666666666667,0.3,10,61.30030959752324,False,70,14,1,0,85,36.99999999999999,0.007977793679844948,8257.011046085127,25886.590817923206
18,342.0,0,15,3,21,21,1.0,23.083333333333332,87.5,11.200000000000001,21,64.07894736842107,False,94,18,1,0,113,48.199999999999996,1.1975947109962954,14827.41234905892,46485.36470908106
19,361.0,0,15,6,10,10,1.0,13.0,41.666666666666664,4.3999999999999995,10,71.30193905817175,False,102,20,1,0,123,52.599999999999994,2.36490477632021,7505.128668185388,23530.29863303048
20,380.0,0,15,0,21,21,1.0,23.083333333333336,87.5,3.7999999999999994,21,76.50000000000001,False,108,22,1,0,131,56.39999999999999,0.7503200149423761,14784.397658802223,46350.73728698233
21,399.0,0,15,3,29,29,1.0,29.458333333333336,120.83333333333334,14.400000000000002,29,79.06015037593987,False,136,28,1,0,165,70.8,0.9223333066059216,19982.22091803104,62645.55146704737
22,418.0,0,15,6,15,15,1.0,15.663976116879137,62.49999999999999,3.3999999999999995,15,87.41626794258376,False,144,29,1,0,174,74.2,1.2409840709924393,10789.322523163939,33825.49835138679
23,437.0,0,15,0,19,19,1.0,21.247309450212473,79.16666666666667,3.7,19,91.0297482837529,False,153,30,1,0,184,77.9,0.8559898840012942,12388.199631454374,38838.297619881014
24,456.0,0,15,3,29,29,1.0,32.330642783545805,120.83333333333334,17.700000000000003,29,95.3289473684211,False,182,39,1,0,222,95.60000000000001,0.2314223522905405,21444.33172534947,67230.15794194177
25,475.0,0,15,6,12,12,1.0,11.958333333333332,50.0,2.1,12,101.36842105263162,False,189,39,1,0,229,97.7,3.0938734932944385,6691.687936797471,20978.68454091749
26,494.0,0,15,0,19,19,1.0,20.291666666666668,79.16666666666667,2.8,19,104.0283400809717,False,195,40,1,0,236,100.5,1.1865037236618217,13978.904289741547,43825.34506393178
27,513.0,0,15,3,37,37,1.0,40.625,154.16666666666666,16.900000000000006,37,110.70175438596496,False,228,47,1,0,276,117.4,0.7176837347413777,26329.069572818906,82544.54871693028
28,532.0,0,15,6,13,13,1.0,14.791666666666664,54.16666666666666,4.899999999999999,13,114.36090225563913,False,241,48,1,0,290,122.30000000000001,2.3239602563179482,9602.753998526938,30105.820055651584
29,551.0,0,15,0,23,23,1.0,24.91666666666667,95.83333333333334,1.6,23,117.19600725952814,False,243,49,1,0,293,123.9,0.9154374015503465,14903.229353038972,46723.00736521529
30,570.0,0,15,3,42,42,1.0,43.526597497951414,175.0,20.300000000000008,42,120.39473684210527,False,284,57,1,0,342,144.20000000000002,0.5667606233081424,32324.127931407227,101339.34163788999
31,589.0,0,15,6,17,17,1.0,17.5,70.83333333333333,5.6,17,125.5263157894737,False,296,59,1,0,356,149.8,1.7451780071627727,10828.04353745211,33946.59151466161
32,608.0,0,15,0,28,28,1.0,26.625,116.66666666666669,2.4,28,127.45065789473682,False,304,59,1,0,364,152.20000000000002,1.7212047071312147,19142.755850371235,60013.51108065833
33,627.0,0,15,3,45,45,1.0,47.671490408840235,187.5,16.800000000000004,45,133.3492822966507,False,340,65,1,0,406,169.00000000000003,0.8867438767925353,35429.60706797865,111075.33950134632
34,646.0,0,15,6,22,22,1.0,23.390654985687963,91.66666666666666,4.699999999999999,22,135.0,False,349,67,1,0,417,173.70000000000002,0.897949399643771,17552.06353500181,55027.91595031738
35,665.0,0,15,0,27,27,1.0,28.33387207468792,112.5,5.1,27,137.36842105263156,False,356,70,1,0,427,178.8,0.8510933143581547,18615.661599879382,58362.108284495356
36,684.0,0,15,3,43,43,1.0,47.00464742096447,179.16666666666666,17.600000000000005,43,140.52631578947364,False,388,78,1,0,467,196.4,0.5669622367484242,30709.807273092876,96278.7337535922
